Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価
28028528,西宮北口駅,159,鬼ごっこ,おでん、そば・うどん・麺類（その他）,兵庫県西宮市北口町1‐1 アクタ西宮　西館1F,12,-,999,-,999,999,2010年11月,2010年11月,12,0,https://tabelog.com/hyogo/A2803/A280301/28028528/,和食,おでん,,,3.28
28049257,西宮北口駅,161,ステーキ家 アクタ西宮店,ステーキ,兵庫県西宮市北口町1-1 アクタ西宮西館　　1Ｆ,12,"1,000",1999,1000,1999,"1,500",2017年6月9日,2017年6月9日,5,5,https://tabelog.com/hyogo/A2803/A280301/28049257/,洋食,ステーキ,,,3.43
28021557,西宮北口駅,416,ごっつええ本舗 阪急西宮ガーデンズ店,たこ焼き,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ １F,0,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28021557/,テイクアウト,たこ焼き,,,3.3
28009643,西宮北口駅,392,大阪王 西宮阪急店,餃子,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28009643/,居酒屋・バル,餃子,,,3.05
28013793,西宮北口駅,284,ビジー ビー カフェ,カフェ、バー、ダイニングバー,兵庫県西宮市南昭和町9-12,48,-,-,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28013793/,その他,カフェ,バー,ダイニングバー,3.09
28017490,西宮北口駅,100,五味箱,居酒屋、割烹・小料理、創作料理,兵庫県西宮市甲風園1-1-7,0,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28017490/,居酒屋・バル,居酒屋,割烹・小料理,創作料理,3.36
28026485,西宮北口駅,131,網焼居酒屋 がくや 西宮北口店,居酒屋、韓国料理、焼肉,兵庫県西宮市甲風園1-5-4 はつせビル3F,40,-,999,3000,3999,"3,500",2010年6月27日,2010年6月27日,12,5,https://tabelog.com/hyogo/A2803/A280301/28026485/,居酒屋・バル,居酒屋,韓国料理,焼肉,3.15
28002300,西宮北口駅,161,デリーキッチン,インド料理、インドカレー,兵庫県西宮市北口町1-1 アクタ西宮西館 1F,28,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28002300/,多国籍料理,インド料理,,,3.42
28016050,西宮北口駅,328,大起水産回転寿司 西宮ガーデンズ店,回転寿司、魚介料理・海鮮料理,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,62,"1,000",1999,1000,1999,"1,500",2008年11月26日,2008年11月26日,14,0,https://tabelog.com/hyogo/A2803/A280301/28016050/,和食,回転寿司,,,3.19
28061060,西宮北口駅,149,そばやし,そば,兵庫県西宮市高松町15-11,20,"1,000",1999,3000,3999,"3,500",2021年8月15日,2021年8月15日,1,3,https://tabelog.com/hyogo/A2803/A280301/28061060/,和食,そば,,,3.59
